"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Bent Over One Arm Row (Dumbbell)";"1";"20.0";"12";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Bent Over One Arm Row (Dumbbell)";"2";"20.0";"12";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Bent Over One Arm Row (Dumbbell)";"3";"20.0";"12";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Bench Press (Dumbbell)";"1";"20.0";"10";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Bench Press (Dumbbell)";"2";"20.0";"10";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Bench Press (Dumbbell)";"3";"20.0";"10";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Cable Crossover";"1";"11.25";"15";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Cable Crossover";"2";"11.25";"12";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Cable Crossover";"3";"11.25";"12";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Goblet Squat (Kettlebell)";"1";"12.5";"10";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Goblet Squat (Kettlebell)";"2";"12.5";"10";"";"";"";"";""
"1";"2024-09-17 20:46:39";"Oren's #1 - Full Body";"3827";"Goblet Squat (Kettlebell)";"3";"12.5";"10";"";"";"";"";""
